politicianId,name_str,latest_pos
11004339,Andreas Lenz (CDU/CSU),CDU/CSU
11004353,Irene Mihalic (Grüne),Grüne
11004361,Alexander S. Neu (DIE LINKE.),DIE LINKE.
11004362,Andreas Nick (CDU/CSU),CDU/CSU
11004363,Ulli Nissen (SPD),SPD
11004385,Martina Renner (DIE LINKE.),DIE LINKE.
11004395,Ulle Schauws (Grüne),Grüne
11004398,Jana Schimke (CDU/CSU),CDU/CSU
11004405,Kordula Schulz-Asche (Grüne),Grüne
11004426,Carsten Träger (SPD),SPD
11004429,Julia Verlinden (Grüne),Grüne
11004443,Kai Whittaker (CDU/CSU),CDU/CSU
11004603,Jens Zimmermann (SPD),SPD
11004656,Philipp Amthor (CDU/CSU),CDU/CSU
11004659,Lisa Badum (Grüne),Grüne
11004665,Canan Bayram (Grüne),Grüne
11004672,Lorenz Gösta Beutin (DIE LINKE.),DIE LINKE.
11004678,Stephan Brandner (AfD),AfD
11004692,Petr Bystron (AfD),AfD
11004695,Tino Chrupalla (AfD),AfD
11004698,Gottfried Curio (AfD),AfD
11004703,Anke Domscheit-Berg (DIE LINKE.),DIE LINKE.
11004705,Christian Dürr (FDP),FDP
11004716,Daniel Föst (FDP),FDP
11004722,Götz Frömming (AfD),AfD
11004724,Alexander Gauland (AfD),AfD
11004731,Kay Gottschalk (AfD),AfD
11004749,Martin Hess (AfD),AfD
11004761,Leif Erik Holm (AfD),AfD
11004786,Lukas Köhler (FDP),FDP
11004796,Konstantin Kuhle (FDP),FDP
11004798,Alexander Lambsdorff (FDP),FDP
11004801,Sven Lehmann (Grüne),Grüne
11004802,Helge Lindh (SPD),SPD
11004811,Jens Maier (AfD),AfD
11004817,Fabio De Masi (DIE LINKE.),DIE LINKE.
11004823,Amira Mohamed Ali (DIE LINKE.),DIE LINKE.
11004857,Filiz Polat (Grüne),Grüne
11004858,Stephan Protschka (AfD),AfD
11004859,Martin Reichardt (AfD),AfD
11004869,Thomas Sattelberger (FDP),FDP
11004905,Beatrix Storch (AfD),AfD
11004906,Marie Agnes Strack-Zimmermann (FDP),FDP
11004908,Benjamin Strasser (FDP),FDP
11004910,Katja Suding (FDP),FDP
11004913,Linda Teuteberg (FDP),FDP
11004914,Michael Theurer (FDP),FDP
11004941,Gyde Jensen (FDP),FDP
11000500,"August Martin Euler (FDP, DA, FVP, DP)",DP
11001242,"Knut Kühlmann-Stumm (FDP, CDU/CSU)",CDU/CSU
11001467,"Erich Mende (FDP, CDU/CSU)",CDU/CSU
11001970,"Otto Schily (Grüne, SPD)",SPD
11002248,Ludwig Stiegler (SPD),SPD
11002278,Peter Struck (SPD),SPD
11003206,"Petra Pau (DIE LINKE., Fraktionslos)",DIE LINKE.
11003512,"Marco Bülow (SPD, Fraktionslos)",Fraktionslos
11003584,"Gesine Lötzsch (Fraktionslos, DIE LINKE.)",DIE LINKE.
