"Politician Id","First Name","Last Name","Electoral Term","State"
11004048,"Florian","Hahn","17","Bayern"
11004048,"Florian","Hahn","18","Bayern"
11004048,"Florian","Hahn","19","Bayern"
11004049,"Stephan","Harbarth","17","Baden-Württemberg"
11004049,"Stephan","Harbarth","18","Baden-Württemberg"
11004049,"Stephan","Harbarth","19","Baden-Württemberg"
11004050,"Jürgen","Hardt","17","Nordrhein-Westfalen"
11004050,"Jürgen","Hardt","18","Nordrhein-Westfalen"
11004050,"Jürgen","Hardt","19","Nordrhein-Westfalen"
11004051,"Matthias","Heider","17","Nordrhein-Westfalen"
11004051,"Matthias","Heider","18","Nordrhein-Westfalen"
11004051,"Matthias","Heider","19","Nordrhein-Westfalen"
11004052,"Mechthild","Heil","17","Rheinland-Pfalz"
11004052,"Mechthild","Heil","18","Rheinland-Pfalz"
11004052,"Mechthild","Heil","19","Rheinland-Pfalz"
11004053,"Rosemarie","Hein","17","Sachsen-Anhalt"
11004053,"Rosemarie","Hein","18","Sachsen-Anhalt"
11004054,"Frank","Heinrich","17","Sachsen"
11004054,"Frank","Heinrich","18","Sachsen"
11004054,"Frank","Heinrich","19","Sachsen"
11004055,"Rudolf","Henke","17","Nordrhein-Westfalen"
11004055,"Rudolf","Henke","18","Nordrhein-Westfalen"
11004055,"Rudolf","Henke","19","Nordrhein-Westfalen"
11004056,"Ansgar","Heveling","17","Nordrhein-Westfalen"
11004056,"Ansgar","Heveling","18","Nordrhein-Westfalen"
11004056,"Ansgar","Heveling","19","Nordrhein-Westfalen"
11004059,"Karl","Holmeier","17","Bayern"
11004059,"Karl","Holmeier","18","Bayern"
11004059,"Karl","Holmeier","19","Bayern"
11004061,"Thomas","Jarzombek","17","Nordrhein-Westfalen"
11004061,"Thomas","Jarzombek","18","Nordrhein-Westfalen"
11004061,"Thomas","Jarzombek","19","Nordrhein-Westfalen"
11004062,"Dieter","Jasper","17","Nordrhein-Westfalen"
11004063,"Oliver","Kaczmarek","17","Nordrhein-Westfalen"
11004063,"Oliver","Kaczmarek","18","Nordrhein-Westfalen"
11004063,"Oliver","Kaczmarek","19","Nordrhein-Westfalen"
11004065,"Stefan","Kaufmann","17","Baden-Württemberg"
11004065,"Stefan","Kaufmann","18","Baden-Württemberg"
11004065,"Stefan","Kaufmann","19","Baden-Württemberg"
11004067,"Katja","Keul","17","Niedersachsen"
11004067,"Katja","Keul","18","Niedersachsen"
11004067,"Katja","Keul","19","Niedersachsen"
11004068,"Roderich","Kiesewetter","17","Baden-Württemberg"
11004068,"Roderich","Kiesewetter","18","Baden-Württemberg"
11004068,"Roderich","Kiesewetter","19","Baden-Württemberg"
11004070,"Sven Christian","Kindler","17","Niedersachsen"
11004070,"Sven Christian","Kindler","18","Niedersachsen"
11004070,"Sven Christian","Kindler","19","Niedersachsen"
11004071,"Volkmar","Klein","17","Nordrhein-Westfalen"
11004071,"Volkmar","Klein","18","Nordrhein-Westfalen"
11004071,"Volkmar","Klein","19","Nordrhein-Westfalen"
11004073,"Axel","Knoerig","17","Niedersachsen"
11004073,"Axel","Knoerig","18","Niedersachsen"
11004073,"Axel","Knoerig","19","Niedersachsen"
11004074,"Lutz","Knopek","17","Niedersachsen"
11004076,"Harald","Koch","17","Sachsen-Anhalt"
11004080,"Jutta","Krellmann","17","Niedersachsen"
11004080,"Jutta","Krellmann","18","Niedersachsen"
11004080,"Jutta","Krellmann","19","Niedersachsen"
11004083,"Rüdiger","Kruse","17","Hamburg"
11004083,"Rüdiger","Kruse","18","Hamburg"
11004083,"Rüdiger","Kruse","19","Hamburg"
11004084,"Bettina","Kudla","17","Sachsen"
11004084,"Bettina","Kudla","18","Sachsen"
11004086,"Günter","Lach","17","Niedersachsen"
11004086,"Günter","Lach","18","Niedersachsen"
11004087,"Ulrich","Lange","17","Bayern"
11004087,"Ulrich","Lange","18","Bayern"
11004087,"Ulrich","Lange","19","Bayern"
11004091,"Ralph","Lenkert","17","Thüringen"
11004091,"Ralph","Lenkert","18","Thüringen"
11004091,"Ralph","Lenkert","19","Thüringen"
11004092,"Ursula","Leyen","17","Niedersachsen"
11004092,"Ursula","Leyen","18","Niedersachsen"
11004092,"Ursula","Leyen","19","Niedersachsen"
11004093,"Stefan","Liebich","17","Berlin"
11004093,"Stefan","Liebich","18","Berlin"
11004093,"Stefan","Liebich","19","Berlin"
11004094,"Matthias","Lietz","17","Mecklenburg-Vorpommern"
11004094,"Matthias","Lietz","18","Mecklenburg-Vorpommern"
